;file_name;hyperparameter;profit;elapsed_time;peak_memory;avg_memory;relative_profit
5;set_130650_ANN_simple_SOAp_meta.pkl;[6, 15, 0.09117597957701895, 29, 10, 16, 'relu'];4431,54;429,54;3876,96;3520,62;0,74
3;set_130650_ANN_simple_IOA_meta.pkl;[7, 8, 0.09986941432760484, 50, 10, 16, 'relu'];5215,59;333,36;2368,18;1734,29;0,87
4;set_130650_ANN_simple_SOAnp_meta.pkl;[6, 15, 0.09117597957701895, 29, 10, 16, 'relu'];5626,29;429,54;3876,96;3520,66;0,94
218;set_4481650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4764503389692133, 'max_depth': 5, 'subsample': 0.307011392482356, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5722,08;273,89;5788,68;5759,94;0,96
59;set_4121650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4992181371655524, 'max_depth': 5, 'subsample': 0.379548802951221, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5728,99;228,16;5160,85;5097,67;0,96
58;set_4121650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4992181371655524, 'max_depth': 5, 'subsample': 0.379548802951221, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5732,27;228,16;5160,85;5097,67;0,96
219;set_4481650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4764503389692133, 'max_depth': 5, 'subsample': 0.307011392482356, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5737,84;273,89;5788,68;5758,04;0,96
194;set_43841650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4978049403956986, 'max_depth': 6, 'subsample': 0.5013219808663522, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5749,08;315,80;12832,95;10246,99;0,96
195;set_43841650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4978049403956986, 'max_depth': 6, 'subsample': 0.5013219808663522, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5752,81;315,80;12832,95;10246,99;0,96
191;set_43841650_ANN_simple_SOAp_meta.pkl;[1, 24, 0.014647075343313174, 19, 10, 32, 'sigmoid'];5764,85;828,70;6806,64;5815,48;0,96
106;set_4241650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4092993052606298, 'max_depth': 6, 'subsample': 0.4287351616532414, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5769,74;227,77;5207,45;5207,45;0,96
107;set_4241650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4092993052606298, 'max_depth': 6, 'subsample': 0.4287351616532414, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5771,23;227,77;5207,45;5207,45;0,97
190;set_43841650_ANN_simple_SOAnp_meta.pkl;[1, 24, 0.014647075343313174, 19, 10, 32, 'sigmoid'];5783,59;828,70;6806,64;5815,53;0,97
262;set_4961650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4598427575429156, 'max_depth': 6, 'subsample': 0.6658534387666587, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5786,73;295,67;6211,97;6198,23;0,97
263;set_4961650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4598427575429156, 'max_depth': 6, 'subsample': 0.6658534387666587, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5787,72;295,67;6211,97;6198,23;0,97
240;set_461650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4950986321787398, 'max_depth': 6, 'subsample': 0.7486588003113205, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5801,67;232,21;5228,07;5228,07;0,97
241;set_461650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4950986321787398, 'max_depth': 6, 'subsample': 0.7486588003113205, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5805,74;232,21;5228,07;5228,07;0,97
83;set_41921650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.38413105048212304, 'max_depth': 5, 'subsample': 0.5313182301746662, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5813,12;240,76;7037,51;6684,86;0,97
82;set_41921650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.38413105048212304, 'max_depth': 5, 'subsample': 0.5313182301746662, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5814,34;240,76;7037,51;6684,86;0,97
235;set_461650_ANN_simple_SOAp_meta.pkl;[2, 22, 0.06779468839177395, 38, 10, 64, 'relu'];5823,89;818,17;4218,39;3820,79;0,97
77;set_41921650_ANN_simple_SOAp_meta.pkl;[7, 20, 0.0034373332590695873, 30, 10, 128, 'relu'];5824,12;873,27;5074,56;4486,29;0,97
75;set_41921650_ANN_simple_IOA_meta.pkl;[7, 15, 0.0823479280360155, 16, 10, 16, 'relu'];5826,50;744,32;3566,45;2775,00;0,97
76;set_41921650_ANN_simple_SOAnp_meta.pkl;[7, 20, 0.0034373332590695873, 30, 10, 128, 'relu'];5830,70;873,27;5074,56;4486,29;0,98
189;set_43841650_ANN_simple_IOA_meta.pkl;[6, 17, 0.008330775028989061, 23, 10, 16, 'relu'];5838,83;864,52;4663,21;3775,07;0,98
53;set_4121650_ANN_simple_SOAp_meta.pkl;[4, 17, 0.0031798072233164315, 50, 10, 16, 'relu'];5840,97;978,40;4293,98;3885,02;0,98
257;set_4961650_ANN_simple_SOAp_meta.pkl;[10, 19, 0.09794773246421506, 36, 10, 16, 'tanh'];5842,11;947,06;4809,19;4199,07;0,98
101;set_4241650_ANN_simple_SOAp_meta.pkl;[6, 25, 0.05507643959774552, 25, 10, 16, 'tanh'];5842,70;952,46;4267,20;3787,12;0,98
213;set_4481650_ANN_simple_SOAp_meta.pkl;[2, 11, 0.0028460512457911154, 16, 10, 16, 'relu'];5842,93;916,78;4645,79;4169,15;0,98
234;set_461650_ANN_simple_SOAnp_meta.pkl;[2, 22, 0.06779468839177395, 38, 10, 64, 'relu'];5843,76;818,17;4218,39;3820,79;0,98
181;set_431650_ANN_simple_SOAp_meta.pkl;[6, 16, 0.006076835158155949, 50, 10, 64, 'relu'];5844,45;806,80;3665,68;3319,86;0,98
304;set_5306250_ANN_simple_SOAnp_meta.pkl;[1, 15, 0.000366422394402363, 15, 10, 32, 'relu'];5844,57;4892,05;4322,21;3958,64;0,98
212;set_4481650_ANN_simple_SOAnp_meta.pkl;[2, 11, 0.0028460512457911154, 16, 10, 16, 'relu'];5846,62;916,78;4645,79;4169,15;0,98
180;set_431650_ANN_simple_SOAnp_meta.pkl;[6, 16, 0.006076835158155949, 50, 10, 64, 'relu'];5853,56;806,80;3665,68;3319,86;0,98
211;set_4481650_ANN_simple_IOA_meta.pkl;[10, 16, 0.002111935566075053, 45, 10, 128, 'relu'];5854,13;852,10;3461,55;2558,75;0,98
256;set_4961650_ANN_simple_SOAnp_meta.pkl;[10, 19, 0.09794773246421506, 36, 10, 16, 'tanh'];5854,18;947,06;4809,19;4199,12;0,98
100;set_4241650_ANN_simple_SOAnp_meta.pkl;[6, 25, 0.05507643959774552, 25, 10, 16, 'tanh'];5855,23;952,46;4267,20;3787,12;0,98
186;set_431650_XGB_simple_SOAnp_meta.pkl;{'learning_rate': 0.4140012550031632, 'max_depth': 3, 'subsample': 0.41129174376298583, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5855,82;187,31;4474,46;4472,03;0,98
52;set_4121650_ANN_simple_SOAnp_meta.pkl;[4, 17, 0.0031798072233164315, 50, 10, 16, 'relu'];5856,98;978,40;4293,98;3885,02;0,98
305;set_5306250_ANN_simple_SOAp_meta.pkl;[1, 15, 0.000366422394402363, 15, 10, 32, 'relu'];5858,04;4892,05;4322,21;3958,64;0,98
193;set_43841650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.4874350037124839, 'max_depth': 2, 'subsample': 0.8532915393181452, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5858,37;280,97;10248,75;9287,19;0,98
187;set_431650_XGB_simple_SOAp_meta.pkl;{'learning_rate': 0.4140012550031632, 'max_depth': 3, 'subsample': 0.41129174376298583, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0, 'objective': 'reg:squarederror'};5858,40;187,32;4474,46;4472,03;0,98
261;set_4961650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.21966801982411407, 'max_depth': 3, 'subsample': 0.8981909553854792, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5860,40;255,12;5386,86;5218,03;0,98
179;set_431650_ANN_simple_IOA_meta.pkl;[6, 11, 0.001639577680399332, 16, 10, 16, 'relu'];5863,93;780,82;2526,41;2150,04;0,98
99;set_4241650_ANN_simple_IOA_meta.pkl;[10, 10, 0.0008443513795200429, 39, 10, 32, 'relu'];5864,03;1048,26;2977,04;2395,75;0,98
255;set_4961650_ANN_simple_IOA_meta.pkl;[4, 7, 0.047962718282852465, 39, 10, 32, 'relu'];5865,26;910,34;3112,86;2536,49;0,98
81;set_41921650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.41197929270768396, 'max_depth': 2, 'subsample': 0.826007292093059, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5866,23;229,34;6770,41;6450,91;0,98
57;set_4121650_XGB_simple_IOA_meta.pkl;{'learning_rate': 0.22862828176053832, 'max_depth': 3, 'subsample': 0.493795098299426, 'tree_method': 'hist', 'num_target': 1, 'multi_strategy': 'one_output_per_tree', 'quantile_alpha': 0.8275862068965517, 'objective': 'reg:quantileerror'};5870,34;242,05;3971,17;3962,88;0,98
